3.769141387939e+01,4.060557174683e+01,3.069959068298e+01,1.959868774414e+02,2.449492950439e+02,1.430757446289e+02,6.354032897949e+01,5.590244140625e+02,-4.704019811470e-04,1.716024598863e-05,1.677379608154e+00,9.440500736237e-01,7.892602682114e-02,2.722931861877e+00,6.868619995117e+02,0.000000000000e+00,0.000000000000e+00
4.808921432495e+01,5.255063629150e+01,3.928363418579e+01,2.721396789551e+02,3.231889038086e+02,2.571602172852e+02,8.161193084717e+01,8.096587524414e+02,3.021964221261e-04,2.032893280557e-05,2.056691884995e+00,4.791380882263e+00,7.006409019232e-02,2.837084054947e+00,7.130897216797e+02,0.000000000000e+00,0.000000000000e+00
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1.466232604980e+02,1.570232543945e+02,1.607023315430e+02,2.933993896484e+03,2.646300537109e+03,3.329009277344e+03,2.697037353516e+02,8.149189941406e+03,8.180824108422e-03,3.569599357434e-04,7.945003986359e+00,7.207045555115e+00,-1.615040779114e+00,5.108851909637e+00,1.475399414062e+03,0.000000000000e+00,0.000000000000e+00
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1.804834442139e+02,2.139425354004e+02,2.428974456787e+02,1.642304199219e+03,8.299816284180e+02,5.283956298828e+02,3.717913818359e+02,2.120962402344e+03,1.004405552521e-03,2.199622213084e-05,5.559437751770e+00,3.176152992249e+01,-6.111747026443e-01,1.920725703239e+00,4.798134155273e+02,0.000000000000e+00,0.000000000000e+00
2.081244201660e+02,2.400256500244e+02,2.473447723389e+02,7.656937255859e+02,5.681755371094e+02,3.302272338867e+02,4.029816284180e+02,1.377679321289e+03,1.220596837811e-03,2.054397918982e-05,4.741319656372e+00,3.723263549805e+01,-6.156098246574e-01,2.256105422974e+00,5.650740356445e+02,0.000000000000e+00,0.000000000000e+00
