1.080070953369e+02,1.325289916992e+02,1.920508880615e+02,1.628218841553e+02,1.713397064209e+02,2.669364929199e+02,2.571849975586e+02,5.594284667969e+02,-1.485034499638e-05,3.885064643327e-07,9.866717457771e-01,5.756220817566e-01,3.010912984610e-02,2.314920425415e+00,5.846447753906e+02,3.332508355379e-02,3.221451491117e-02
1.124188308716e+02,1.360370788574e+02,1.954061584473e+02,3.206261901855e+02,2.756929931641e+02,3.069020080566e+02,2.634426879883e+02,8.226115722656e+02,-1.010618289001e-04,1.194250671688e-06,2.103064537048e+00,5.351321697235e+00,1.505688279867e-01,2.257546901703e+00,5.670207519531e+02,1.219103485346e-01,1.349072605371e-01
1.454951324463e+02,1.699453125000e+02,2.289338226318e+02,2.359609527588e+02,2.502771453857e+02,1.733889312744e+02,3.202457580566e+02,5.578712158203e+02,-7.590132008772e-05,1.554512664370e-06,1.467457890511e+00,1.771247625351e+00,6.198477745056e-02,2.463656425476e+00,6.210920410156e+02,1.459918636829e-02,1.438602153212e-02
1.601101531982e+02,1.851359558105e+02,2.393821258545e+02,1.939125213623e+02,1.790262908936e+02,1.108502426147e+02,3.425364379883e+02,3.691074218750e+02,1.347221841570e-04,6.170999768074e-06,1.478839397430e+00,1.103696823120e+00,3.257958218455e-02,2.392906904221e+00,6.049037475586e+02,1.667544362135e-03,1.664777169935e-03
2.080340118408e+02,2.270267333984e+02,2.495227050781e+02,5.740818481445e+02,4.231257019043e+02,1.589378356934e+02,3.966942138672e+02,8.541034545898e+02,2.177584829042e-04,5.529172995011e-06,2.924794673920e+00,1.916759872437e+01,-2.184296846390e-01,2.409301757812e+00,6.079639892578e+02,5.826841574162e-03,5.792934447527e-03
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
