1.037500000000e+02,1.235000000000e+02,8.750000000000e+01,1.768749046326e+01,9.825000000000e+01,8.074999237061e+01,1.836391906738e+02,1.459011535645e+02,3.622962860391e-03,6.398585810530e-06,6.358230113983e-01,2.013757377863e-01,-7.405860424042e-01,6.361388015747e+01,1.218815917969e+04,0.000000000000e+00,0.000000000000e+00
6.602090454102e+01,7.521781921387e+01,6.089328765869e+01,4.583043212891e+02,4.628463134766e+02,3.466959533691e+02,1.177895278931e+02,1.117924194336e+03,-1.309015555307e-03,1.206440811075e-05,4.534183979034e+00,1.013426113129e+01,6.195194721222e-01,3.473748207092e+00,8.471378784180e+02,3.740373998880e-02,3.600467368960e-02
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1.241691436768e+02,1.462945556641e+02,1.086227874756e+02,1.365720458984e+03,1.366500366211e+03,1.523626098633e+03,2.213767700195e+02,3.868504882812e+03,1.680200337432e-03,5.590803993982e-05,5.219913005829e+00,1.147288227081e+01,-4.654965400696e-01,3.036967992783e+00,7.585297851562e+02,6.502313613892e-01,2.274304330349e-01
5.917872238159e+01,6.460425567627e+01,5.503829956055e+01,4.117722167969e+02,4.436093444824e+02,4.403006286621e+02,1.041301803589e+02,1.157636962891e+03,-5.535680800676e-03,3.956190630561e-05,7.452125072479e+00,6.569306373596e+00,1.481973171234e+00,1.811678886414e+00,5.479108886719e+02,8.553191423416e-01,1.237483024597e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
6.797738647461e+01,7.784817504883e+01,6.129732513428e+01,5.297420654297e+02,6.862403564453e+02,3.986612243652e+02,1.207120437622e+02,1.481656860352e+03,-1.493879710324e-03,5.760932253907e-05,4.600977897644e+00,7.175986766815e+00,5.543686747551e-01,2.445447444916e+00,6.161107788086e+02,1.669466346502e-01,1.390755921602e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1.288337097168e+02,1.494390258789e+02,1.174368057251e+02,1.224564331055e+03,1.046148559570e+03,1.676507202148e+03,2.308242492676e+02,3.388859130859e+03,4.966028966010e-03,9.501443128102e-05,5.212260723114e+00,4.570323467255e+00,-1.482507109642e+00,2.650977373123e+00,7.095408935547e+02,3.082039952278e-01,2.132143229246e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1.409692382812e+02,1.640076904297e+02,1.193769226074e+02,1.147568237305e+03,1.344346435547e+03,5.292501831055e+02,2.475551147461e+02,2.759339111328e+03,1.911569968797e-03,3.508982626954e-05,8.950467109680e+00,5.002837657928e+00,-1.182204604149e+00,3.783717632294e+00,9.848323364258e+02,8.692307472229e-01,1.136686354876e-01
1.315500030518e+02,1.506900024414e+02,1.096699981689e+02,1.257447509766e+03,1.573633911133e+03,6.805209960938e+02,2.289073791504e+02,3.153431884766e+03,-3.968252334744e-03,3.870752698276e-04,6.859103202820e+00,5.363174438477e+00,6.480357646942e-01,2.960781812668e+00,6.407039794922e+02,6.600000262260e-01,2.243999689817e-01
2.482589416504e+02,2.516630859375e+02,2.467700195312e+02,3.152112731934e+02,1.855921783447e+02,2.760070800781e+02,4.312075195312e+02,7.093806152344e+02,4.987334250472e-05,2.052817762888e-06,1.716842651367e+00,1.315248298645e+01,-1.930323988199e-01,5.269615650177e-01,1.360548553467e+02,0.000000000000e+00,0.000000000000e+00
2.489518280029e+02,2.520011901855e+02,2.484434051514e+02,2.325750274658e+02,1.261278228760e+02,7.544429016113e+01,4.327666320801e+02,3.622832641602e+02,2.834840233845e-05,3.106359542926e-07,1.211614251137e+00,8.867784500122e+00,-1.287197172642e-01,3.976805508137e-01,1.004882125854e+02,0.000000000000e+00,0.000000000000e+00
2.415917358398e+02,2.470829925537e+02,2.386347808838e+02,8.322604980469e+02,4.491589965820e+02,9.908511962891e+02,4.202872924805e+02,2.005029541016e+03,1.816934236558e-04,5.104988304083e-06,3.117628574371e+00,2.855422973633e+01,-3.132727742195e-01,6.588288545609e-01,1.690456695557e+02,0.000000000000e+00,0.000000000000e+00
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
